"rank","module","uri","uri_template","name","action","model","record_key","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"31","muhasebe","admin/muhasebe/finans/banka-hesaplari/1/edit","admin/muhasebe/finans/banka-hesaplari/{record}/edit","filament.admin.muhasebe.resources.finans.banka-hesaplari.edit","App\Filament\Clusters\Muhasebe\Resources\BankaHesabiKaynagi\Pages\EditBankaHesabi","App\Models\Muhasebe\BankaHesabi","1","200","1683,08","1683,08","1683,08","1683.08","175485","http://localhost/yalova-kamera/admin/muhasebe/finans/banka-hesaplari/1/edit",
"32","personel-takip","admin/personel-takip/tanimlar/departmanlar/1/edit","admin/personel-takip/tanimlar/departmanlar/{record}/edit","filament.admin.personel-takip.resources.tanimlar.departmanlar.edit","App\Filament\Clusters\PersonelTakip\Resources\PersonelDepartmanKaynagi\Pages\EditPersonelDepartman","App\Models\Personel\PersonelDepartmani","1","200","1682,02","1682,02","1682,02","1682.02","145799","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/departmanlar/1/edit",
"33","muhasebe","admin/muhasebe/tanimlar/markalar/1/edit","admin/muhasebe/tanimlar/markalar/{record}/edit","filament.admin.muhasebe.resources.tanimlar.markalar.edit","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeMarkaTanimKaynagi\Pages\EditMuhasebeMarka","App\Models\Muhasebe\MuhasebeMarka","1","200","1680,92","1680,92","1680,92","1680.92","143364","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/markalar/1/edit",
"34","muhasebe","admin/muhasebe/tanimlar/para-birimleri/1/edit","admin/muhasebe/tanimlar/para-birimleri/{record}/edit","filament.admin.muhasebe.resources.tanimlar.para-birimleri.edit","App\Filament\Clusters\Muhasebe\Resources\ParaBirimiTanimKaynagi\Pages\EditParaBirimi","App\Models\Muhasebe\ParaBirimi","1","200","1663,25","1663,25","1663,25","1663.25","137744","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/para-birimleri/1/edit",
"35","teknik-servis","admin/teknik-servis/tanimlar/servis-durumlari/7/edit","admin/teknik-servis/tanimlar/servis-durumlari/{record}/edit","filament.admin.teknik-servis.resources.tanimlar.servis-durumlari.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisDurumuTanimKaynagi\Pages\EditTeknikServisDurumu","App\Models\TeknikServis\TeknikServisDurumTanimi","7","200","1661,69","1661,69","1661,69","1661.69","156603","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/servis-durumlari/7/edit",
"36","personel-takip","admin/personel-takip/tanimlar/subeler/1/edit","admin/personel-takip/tanimlar/subeler/{record}/edit","filament.admin.personel-takip.resources.tanimlar.subeler.edit","App\Filament\Clusters\PersonelTakip\Resources\SubeKaynagi\Pages\EditSube","App\Models\Sube","1","200","1659,65","1659,65","1659,65","1659.65","143434","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/subeler/1/edit",
"37","sistem-kullanicilar","admin/sistem-kullanicilar/1/edit","admin/sistem-kullanicilar/{record}/edit","filament.admin.resources.sistem-kullanicilar.edit","App\Filament\Resources\UserResource\Pages\EditUser","App\Models\User","1","200","1657,18","1657,18","1657,18","1657.18","143006","http://localhost/yalova-kamera/admin/sistem-kullanicilar/1/edit",
"38","web","admin/web/urunler/urun-kategorileri/1/edit","admin/web/urunler/urun-kategorileri/{record}/edit","filament.admin.web.resources.urunler.urun-kategorileri.edit","App\Filament\Clusters\Web\Resources\UrunKategoriKaynagi\Pages\EditUrunKategorisi","App\Models\Muhasebe\StokKategorisi","1","200","1655,5","1655,5","1655,5","1655.5","154895","http://localhost/yalova-kamera/admin/web/urunler/urun-kategorileri/1/edit",
"39","teknik-servis","admin/teknik-servis/tanimlar/aksesuarlar/1/edit","admin/teknik-servis/tanimlar/aksesuarlar/{record}/edit","filament.admin.teknik-servis.resources.tanimlar.aksesuarlar.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisAksesuarKaynagi\Pages\EditTeknikServisAksesuar","App\Models\TeknikServis\TeknikServisAksesuarTanimi","1","200","1654,23","1654,23","1654,23","1654.23","141744","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/aksesuarlar/1/edit",
"40","teknik-servis","admin/teknik-servis/tanimlar/cihazlar/1/edit","admin/teknik-servis/tanimlar/cihazlar/{record}/edit","filament.admin.teknik-servis.resources.tanimlar.cihazlar.edit","App\Filament\Clusters\TeknikServis\Resources\TeknikServisCihazKaynagi\Pages\EditTeknikServisCihazi","App\Models\TeknikServis\TeknikServisCihazTanimi","1","200","1645,47","1645,47","1645,47","1645.47","141723","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/cihazlar/1/edit",
"41","muhasebe","admin/muhasebe/finans/kasa-hesaplari/1","admin/muhasebe/finans/kasa-hesaplari/{record}","filament.admin.muhasebe.resources.finans.kasa-hesaplari.view","App\Filament\Clusters\Muhasebe\Resources\KasaHesabiKaynagi\Pages\ViewKasaHesabi","App\Models\Muhasebe\KasaHesabi","1","200","1643,51","1643,51","1643,51","1643.51","156353","http://localhost/yalova-kamera/admin/muhasebe/finans/kasa-hesaplari/1",
"42","sistem-kullanicilar","admin/sistem-kullanicilar/1","admin/sistem-kullanicilar/{record}","filament.admin.resources.sistem-kullanicilar.view","App\Filament\Resources\UserResource\Pages\ViewUser","App\Models\User","1","200","1634,71","1634,71","1634,71","1634.71","133841","http://localhost/yalova-kamera/admin/sistem-kullanicilar/1",
"43","sistem-moduller","admin/sistem-moduller/1/edit","admin/sistem-moduller/{record}/edit","filament.admin.resources.sistem-moduller.edit","App\Filament\Resources\ModulYonetimKaynagi\Pages\ModulDuzenle","App\Models\Modul","1","200","1628,54","1628,54","1628,54","1628.54","133895","http://localhost/yalova-kamera/admin/sistem-moduller/1/edit",
"44","web","admin/web/urunler/urun-listesi/1/edit","admin/web/urunler/urun-listesi/{record}/edit","filament.admin.web.resources.urunler.urun-listesi.edit","App\Filament\Clusters\Web\Resources\UrunKaynagi\Pages\EditUrun","App\Models\Muhasebe\StokKarti","1","404","1624,38","1624,38","1624,38","1624.38","0","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/1/edit","Uzak sunucu hata döndürdü: (404) Bulunamadı."
"45","web","admin/web/urunler/urun-listesi/1","admin/web/urunler/urun-listesi/{record}","filament.admin.web.resources.urunler.urun-listesi.view","App\Filament\Clusters\Web\Resources\UrunKaynagi\Pages\ViewUrun","App\Models\Muhasebe\StokKarti","1","404","1573,86","1573,86","1573,86","1573.86","0","http://localhost/yalova-kamera/admin/web/urunler/urun-listesi/1","Uzak sunucu hata döndürdü: (404) Bulunamadı."
