rank,module,uri,name,action,status,avg_ms,min_ms,max_ms,runs_ms,bytes,app_ms,queries,query_ms,gzip_ms,gzip_raw_bytes,gzip_bytes,slowest_queries,final_url,error
179,muhasebe,admin/muhasebe/satis/barkod-etiket-yazdirma,filament.admin.muhasebe.pages.satis.barkod-etiket-yazdirma,"App\Filament\Clusters\Muhasebe\Pages\BarkodEtiketYazdirmaSayfasi",200,1644.46,1644.46,1644.46,1644.46,210668,761,7,19.25,2.94,210668,27930,"15.1ms select count(*) as aggregate from `muhasebe_etiket_sablonlari` where `firma_id` = ? || 1.24ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.67ms select `id` from `muhasebe_etiket_sablonlari` where `firma_id` = ? and `varsayilan_mi` = ? limit 1 || 0.61ms select `id`, `genislik_mm`, `yukseklik_mm`, `ad`, `tasarim_tipi`, `barkod_tipi` from `muhasebe_etiket_sablonlari` where `firma_id` = ? and `muhasebe_etiket_sablonlari`.`id` = ? limit 1 || 0.57ms select `id`, `ad`, `genislik_mm`, `yukseklik_mm`, `tasarim_tipi` from `muhasebe_etiket_sablonlari` where `firma_id` = ? and `aktif` = ? order by `varsayilan_mi` desc, `ad` asc",http://127.0.0.1:8000/admin/muhasebe/satis/barkod-etiket-yazdirma,
180,web,admin/web/web-ayarlar/mail-sablonlari,filament.admin.web.pages.web-ayarlar.mail-sablonlari,"App\Filament\Clusters\Web\Pages\WebMailSablonlari",200,1643.87,1643.87,1643.87,1643.87,213663,739.99,6,20.3,3.74,213663,28043,"16.25ms select count(*) as aggregate from `newsletter_mail_templates` || 1.05ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.93ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.87ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.62ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/web/web-ayarlar/mail-sablonlari,
181,teknik-servis,admin/teknik-servis/tanimlar/markalar,filament.admin.teknik-servis.resources.tanimlar.markalar.index,"App\Filament\Clusters\TeknikServis\Resources\TeknikServisMarkaKaynagi\Pages\ListTeknikServisMarkalari",200,1642.95,1642.95,1642.95,1642.95,181203,705.93,4,3.25,2.56,181203,24611,"1.66ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.59ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.53ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.47ms select `teknik_servis_tanim_markalar`.`id`, `teknik_servis_tanim_markalar`.`ad`, `teknik_servis_tanim_markalar`.`kod`, `teknik_servis_tanim_markalar`.`aktif`, `teknik_servis_tanim_markalar`.`siralama` from `teknik_servis_tanim_markalar` where `teknik_servis_tanim_markalar`.`deleted_at` is null order by `teknik_servis_tanim_markalar`.`siralama` asc, `teknik_servis_tanim_markalar`.`ad` asc limit 11 offset 0",http://127.0.0.1:8000/admin/teknik-servis/tanimlar/markalar,
182,teknik-servis,admin/teknik-servis/servis-kayitlari/liste/parca-bekleyen,filament.admin.teknik-servis.resources.servis-kayitlari.parca_bekleyen,"App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKayitlariParcaBekleyenSayfasi",200,1640.46,1640.46,1640.46,1640.46,160321,697.38,4,5.05,2.41,160321,24639,"1.4ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.3ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 1.23ms select `teknik_servis_kayitlari`.`id`, `teknik_servis_kayitlari`.`firma_id`, `teknik_servis_kayitlari`.`fis_no`, `teknik_servis_kayitlari`.`kabul_tarihi`, `teknik_servis_kayitlari`.`cari_id`, `teknik_servis_kayitlari`.`musteri_tel`, `teknik_servis_kayitlari`.`cihaz_id`, `teknik_servis_kayitlari`.`marka_id`, `teknik_servis_kayitlari`.`servis_tipi`, `teknik_servis_kayitlari`.`servis_durumu_id`, `teknik_servis_kayitlari || 1.12ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/teknik-servis/servis-kayitlari/liste/parca-bekleyen,
183,restoran,admin/restoran/qr-menu/receteler,filament.admin.restoran.resources.qr-menu.receteler.index,"App\Filament\Clusters\Restoran\Resources\RestoranReceteKaynagi\Pages\ListRestoranReceteleri",200,1639.19,1639.19,1639.19,1639.19,180063,758.59,6,17.15,2.86,180063,25937,"14.01ms select count(*) as aggregate from `restoran_receteleri` where `restoran_receteleri`.`deleted_at` is null || 1.1ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.57ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.56ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.54ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/restoran/qr-menu/receteler,
184,muhasebe,admin/muhasebe/faturalar/gider-faturasi,filament.admin.muhasebe.pages.faturalar.gider-faturasi,"App\Filament\Clusters\Muhasebe\Pages\GiderFaturasiSayfasi",200,1638.61,1638.61,1638.61,1638.61,191756,763.85,6,4.76,3.02,191756,26734,"1.36ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.88ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.85ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.61ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.55ms select count(*) as aggregate from `faturalar` left join `cariler` on `cariler`.`id` = `faturalar`.`cari_id` and `cariler`.`firma_id` = `faturalar`.`firma_id` left join `isletme_projeleri` as `projeler` on `projeler`.`id` = `faturalar`.`isletme_proje_id` and `projeler`.`firma_id` = `faturalar`.`firma_id` where `faturalar`.`tur` in (?, ?) and `faturalar`.`deleted_at` is null",http://127.0.0.1:8000/admin/muhasebe/faturalar/gider-faturasi,
185,personel-takip,admin/personel-takip/giris-cikis,filament.admin.personel-takip.resources.giris-cikis.index,"App\Filament\Clusters\PersonelTakip\Resources\PersonelGirisCikisKaynagi\Pages\ListPersonelGirisCikislari",200,1638.42,1638.42,1638.42,1638.42,183718,867.12,7,28.52,2.7,183718,25939,"9.46ms select count(*) as aggregate from `personel_giris_cikislari` where `personel_giris_cikislari`.`deleted_at` is null || 8.25ms select `ad`, `id` from `subeler` where `subeler`.`deleted_at` is null order by `ad` asc || 5.81ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 1.58ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.26ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/personel-takip/giris-cikis,
186,teknik-servis,admin/teknik-servis/servis-kayitlari/olustur/bakim/detay,filament.admin.teknik-servis.resources.servis-kayitlari.create_bakim_detail,"App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\BakimKaydiOlusturSayfasi",200,1637.71,1637.71,1637.71,1637.71,280018,769.43,15,9.73,3.5,280018,31589,"1.24ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.06ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 1.03ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.83ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.77ms select * from `teknik_servis_kalemleri` where `teknik_servis_kalemleri`.`teknik_servis_kaydi_id` is null and `teknik_servis_kalemleri`.`teknik_servis_kaydi_id` is not null and `teknik_servis_kalemleri`.`deleted_at` is null",http://127.0.0.1:8000/admin/teknik-servis/servis-kayitlari/olustur/bakim/detay,
187,teknik-servis,admin/teknik-servis/servis-kayitlari/liste/acik,filament.admin.teknik-servis.resources.servis-kayitlari.acik,"App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKayitlariAcikSayfasi",200,1634.84,1634.84,1634.84,1634.84,184438,712.45,5,4.85,3.07,184438,25419,"1.57ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.31ms select `teknik_servis_kayitlari`.`id`, `teknik_servis_kayitlari`.`firma_id`, `teknik_servis_kayitlari`.`fis_no`, `teknik_servis_kayitlari`.`kabul_tarihi`, `teknik_servis_kayitlari`.`cari_id`, `teknik_servis_kayitlari`.`musteri_tel`, `teknik_servis_kayitlari`.`cihaz_id`, `teknik_servis_kayitlari`.`marka_id`, `teknik_servis_kayitlari`.`servis_tipi`, `teknik_servis_kayitlari`.`servis_durumu_id`, `teknik_servis_kayitlari || 0.95ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.64ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.38ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/teknik-servis/servis-kayitlari/liste/acik,
188,personel-takip,admin/personel-takip/tanimlar/gorevler/create,filament.admin.personel-takip.resources.tanimlar.gorevler.create,"App\Filament\Clusters\PersonelTakip\Resources\PersonelGorevKaynagi\Pages\CreatePersonelGorev",200,1632.2,1632.2,1632.2,1632.2,173104,727.45,4,3.31,2.68,173104,25463,"1.22ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.94ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.59ms select `ad`, `id` from `personel_departmanlari` where `personel_departmanlari`.`deleted_at` is null order by `ad` asc || 0.56ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/personel-takip/tanimlar/gorevler/create,
189,teknik-servis,admin/teknik-servis/tanimlar/cihazlar,filament.admin.teknik-servis.resources.tanimlar.cihazlar.index,"App\Filament\Clusters\TeknikServis\Resources\TeknikServisCihazKaynagi\Pages\ListTeknikServisCihazlari",200,1621.53,1621.53,1621.53,1621.53,181307,689.03,4,3.86,2.64,181307,24694,"1.78ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.06ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.58ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.44ms select `teknik_servis_tanim_cihazlar`.`id`, `teknik_servis_tanim_cihazlar`.`ad`, `teknik_servis_tanim_cihazlar`.`kod`, `teknik_servis_tanim_cihazlar`.`aktif`, `teknik_servis_tanim_cihazlar`.`siralama` from `teknik_servis_tanim_cihazlar` where `teknik_servis_tanim_cihazlar`.`deleted_at` is null order by `teknik_servis_tanim_cihazlar`.`siralama` asc, `teknik_servis_tanim_cihazlar`.`ad` asc limit 11 offset 0",http://127.0.0.1:8000/admin/teknik-servis/tanimlar/cihazlar,
190,sistem-firmalar,admin/sistem-firmalar,filament.admin.resources.sistem-firmalar.index,"App\Filament\Resources\FirmaYonetimKaynagi\Pages\FirmaListesi",200,1620.8,1620.8,1620.8,1620.8,317396,801.04,7,4,3.66,317396,32400,"1.16ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.66ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.56ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.48ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.43ms select count(*) as aggregate from `firmalar` where `firmalar`.`deleted_at` is null",http://127.0.0.1:8000/admin/sistem-firmalar,
191,teknik-servis,admin/teknik-servis/servis-kayitlari/liste/fiyat-verilen,filament.admin.teknik-servis.resources.servis-kayitlari.fiyat_verilen,"App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKayitlariFiyatVerilenSayfasi",200,1619.44,1619.44,1619.44,1619.44,160292,718.72,4,4.01,2.52,160292,24633,"1.9ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.98ms select `teknik_servis_kayitlari`.`id`, `teknik_servis_kayitlari`.`firma_id`, `teknik_servis_kayitlari`.`fis_no`, `teknik_servis_kayitlari`.`kabul_tarihi`, `teknik_servis_kayitlari`.`cari_id`, `teknik_servis_kayitlari`.`musteri_tel`, `teknik_servis_kayitlari`.`cihaz_id`, `teknik_servis_kayitlari`.`marka_id`, `teknik_servis_kayitlari`.`servis_tipi`, `teknik_servis_kayitlari`.`servis_durumu_id`, `teknik_servis_kayitlari || 0.59ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.54ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/teknik-servis/servis-kayitlari/liste/fiyat-verilen,
192,web,admin/web/projeler/ayarlar,filament.admin.web.pages.projeler.ayarlar,"App\Filament\Clusters\Web\Pages\WebProjeAyarlar",200,1613.22,1613.22,1613.22,1613.22,166455,709.56,4,2.79,2.52,166455,23991,"1.25ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.58ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.56ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.4ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/web/projeler/ayarlar,
193,restoran,admin/restoran/qr-menu/kategoriler,filament.admin.restoran.resources.qr-menu.kategoriler.index,"App\Filament\Clusters\Restoran\Resources\RestoranMenuKategoriKaynagi\Pages\ListRestoranMenuKategorileri",200,1612.14,1612.14,1612.14,1612.14,180155,757.69,6,17.74,3.1,180155,25954,"13.95ms select count(*) as aggregate from `restoran_menu_kategorileri` where `restoran_menu_kategorileri`.`deleted_at` is null || 1.11ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.11ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.59ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.56ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/restoran/qr-menu/kategoriler,
194,teknik-servis,admin/teknik-servis/servis-kayitlari,filament.admin.teknik-servis.resources.servis-kayitlari.index,"App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\ListTeknikServisKayitlari",200,1608.45,1608.45,1608.45,1608.45,191328,738.31,5,5.14,2.74,191328,25552,"1.53ms select `teknik_servis_kayitlari`.`id`, `teknik_servis_kayitlari`.`firma_id`, `teknik_servis_kayitlari`.`fis_no`, `teknik_servis_kayitlari`.`kabul_tarihi`, `teknik_servis_kayitlari`.`cari_id`, `teknik_servis_kayitlari`.`musteri_tel`, `teknik_servis_kayitlari`.`cihaz_id`, `teknik_servis_kayitlari`.`marka_id`, `teknik_servis_kayitlari`.`servis_tipi`, `teknik_servis_kayitlari`.`servis_durumu_id`, `teknik_servis_kayitlari || 1.18ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.87ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.84ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.72ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/teknik-servis/servis-kayitlari,
195,web,admin/web/urunler/urun-kategorileri/create,filament.admin.web.resources.urunler.urun-kategorileri.create,"App\Filament\Clusters\Web\Resources\UrunKategoriKaynagi\Pages\CreateUrunKategorisi",200,1607.92,1607.92,1607.92,1607.92,175070,699.82,4,3.28,2.7,175070,25455,"1.3ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.79ms select `ad`, `id` from `firmalar` where `firmalar`.`deleted_at` is null order by `ad` asc || 0.62ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.57ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/web/urunler/urun-kategorileri/create,
196,muhasebe,admin/muhasebe/faturalar/proforma-fatura,filament.admin.muhasebe.pages.faturalar.proforma-fatura,"App\Filament\Clusters\Muhasebe\Pages\ProformaFaturaSayfasi",200,1607.71,1607.71,1607.71,1607.71,191762,753.66,6,8.62,2.85,191762,26727,"3.83ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.16ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.98ms select count(*) as aggregate from `faturalar` left join `cariler` on `cariler`.`id` = `faturalar`.`cari_id` and `cariler`.`firma_id` = `faturalar`.`firma_id` left join `isletme_projeleri` as `projeler` on `projeler`.`id` = `faturalar`.`isletme_proje_id` and `projeler`.`firma_id` = `faturalar`.`firma_id` where `faturalar`.`tur` in (?, ?) and `faturalar`.`deleted_at` is null || 0.94ms select `id`, `kod`, `ad` from `isletme_projeleri` where `durum` in (?, ?) and `isletme_projeleri`.`deleted_at` is null order by `ad` asc || 0.87ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/muhasebe/faturalar/proforma-fatura,
197,teknik-servis,admin/teknik-servis/servis-kayitlari/liste/garantiye-gonderilen,filament.admin.teknik-servis.resources.servis-kayitlari.garantiye_gonderilen,"App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKayitlariGarantiyeGonderilenSayfasi",200,1605.42,1605.42,1605.42,1605.42,157207,687.18,4,3.96,2.37,157207,24159,"1.31ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.98ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.89ms select `teknik_servis_kayitlari`.`id`, `teknik_servis_kayitlari`.`firma_id`, `teknik_servis_kayitlari`.`fis_no`, `teknik_servis_kayitlari`.`kabul_tarihi`, `teknik_servis_kayitlari`.`cari_id`, `teknik_servis_kayitlari`.`musteri_tel`, `teknik_servis_kayitlari`.`cihaz_id`, `teknik_servis_kayitlari`.`marka_id`, `teknik_servis_kayitlari`.`servis_tipi`, `teknik_servis_kayitlari`.`servis_durumu_id`, `teknik_servis_kayitlari || 0.78ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/teknik-servis/servis-kayitlari/liste/garantiye-gonderilen,
198,teknik-servis,admin/teknik-servis/tanimlar/aksesuarlar/create,filament.admin.teknik-servis.resources.tanimlar.aksesuarlar.create,"App\Filament\Clusters\TeknikServis\Resources\TeknikServisAksesuarKaynagi\Pages\CreateTeknikServisAksesuar",200,1604.52,1604.52,1604.52,1604.52,139633,698.04,3,2.97,2.19,139633,21735,"1.21ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.94ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.82ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/teknik-servis/tanimlar/aksesuarlar/create,
199,teknik-servis,admin/teknik-servis/servis-kayitlari/liste/teslim-edilen,filament.admin.teknik-servis.resources.servis-kayitlari.teslim_edilen,"App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKayitlariTeslimEdilenSayfasi",200,1602.52,1602.52,1602.52,1602.52,191795,691.99,4,3.94,2.65,191795,25663,"1.29ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.15ms select `teknik_servis_kayitlari`.`id`, `teknik_servis_kayitlari`.`firma_id`, `teknik_servis_kayitlari`.`fis_no`, `teknik_servis_kayitlari`.`kabul_tarihi`, `teknik_servis_kayitlari`.`cari_id`, `teknik_servis_kayitlari`.`musteri_tel`, `teknik_servis_kayitlari`.`cihaz_id`, `teknik_servis_kayitlari`.`marka_id`, `teknik_servis_kayitlari`.`servis_tipi`, `teknik_servis_kayitlari`.`servis_durumu_id`, `teknik_servis_kayitlari || 0.77ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.73ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1",http://127.0.0.1:8000/admin/teknik-servis/servis-kayitlari/liste/teslim-edilen,
200,restoran,admin/restoran/tanimlar/salonlar,filament.admin.restoran.resources.tanimlar.salonlar.index,"App\Filament\Clusters\Restoran\Resources\RestoranSalonKaynagi\Pages\ListRestoranSalonlari",200,1601.71,1601.71,1601.71,1601.71,189830,684.06,7,4.02,2.74,189830,26501,"1.07ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.76ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.5ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.47ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 0.43ms select count(*) as aggregate from `restoran_salonlari` where `restoran_salonlari`.`deleted_at` is null",http://127.0.0.1:8000/admin/restoran/tanimlar/salonlar,
201,muhasebe,admin/muhasebe/satis/barkodlu-satis-fis-sablonlari,filament.admin.muhasebe.pages.satis.barkodlu-satis-fis-sablonlari,"App\Filament\Clusters\Muhasebe\Pages\SatisFisDuzenleSayfasi",200,1599.29,1599.29,1599.29,1599.29,277201,789.98,10,21.03,3.73,277201,35917,"13.49ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'muhasebe_satis_fis_sablonlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 3.19ms select exists(select * from `muhasebe_satis_fis_sablonlari` where `firma_id` = ?) as `exists` || 1.06ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 0.54ms select * from `muhasebe_satis_fis_sablonlari` where `firma_id` = ? order by `varsayilan_mi` desc, `sayfa_tipi` asc, `ad` asc || 0.53ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists`",http://127.0.0.1:8000/admin/muhasebe/satis/barkodlu-satis-fis-sablonlari,
202,teknik-servis,admin/teknik-servis/tanimlar/arizalar,filament.admin.teknik-servis.resources.tanimlar.arizalar.index,"App\Filament\Clusters\TeknikServis\Resources\TeknikServisArizaKaynagi\Pages\ListTeknikServisArizalari",200,1598.94,1598.94,1598.94,1598.94,181437,693.53,4,4.61,2.52,181437,24744,"1.34ms select * from `users` where `id` = ? and `users`.`deleted_at` is null limit 1 || 1.33ms select exists (select 1 from information_schema.tables where table_schema = 'yalovayazilimsaas' and table_name = 'firma_ayarlari' and table_type in ('BASE TABLE', 'SYSTEM VERSIONED')) as `exists` || 1.17ms select * from `firmalar` where `firmalar`.`id` = ? and `firmalar`.`deleted_at` is null limit 1 || 0.77ms select `teknik_servis_tanim_arizalar`.`id`, `teknik_servis_tanim_arizalar`.`ad`, `teknik_servis_tanim_arizalar`.`kod`, `teknik_servis_tanim_arizalar`.`aktif`, `teknik_servis_tanim_arizalar`.`siralama` from `teknik_servis_tanim_arizalar` where `teknik_servis_tanim_arizalar`.`deleted_at` is null order by `teknik_servis_tanim_arizalar`.`siralama` asc, `teknik_servis_tanim_arizalar`.`ad` asc limit 11 offset 0",http://127.0.0.1:8000/admin/teknik-servis/tanimlar/arizalar,
