"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"62","firma-ici-kullanicilar","admin/firma-ici-kullanicilar","filament.admin.resources.firma-ici-kullanicilar.index","App\Filament\Resources\FirmaIciKullaniciKaynagi\Pages\FirmaIciKullaniciListesi","200","1823,29","1681,01","2018,61","2018,61|1681,01|1770,24","153018","http://localhost/yalova-kamera/admin/firma-ici-kullanicilar",
"63","muhasebe","admin/muhasebe/tanimlar/marka-ureticileri","filament.admin.muhasebe.resources.tanimlar.marka-ureticileri.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeMarkaUreticiTanimKaynagi\Pages\ListMuhasebeMarkaUreticileri","200","1822,38","1720,39","2012,74","1720,39|2012,74|1734,01","160846","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/marka-ureticileri",
"64","teknik-servis","admin/teknik-servis/servis-kayitlari/liste/teslim-edilen","filament.admin.teknik-servis.resources.servis-kayitlari.teslim_edilen","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKayitlariTeslimEdilenSayfasi","200","1822,13","1762,29","1891,85","1762,29|1891,85|1812,26","145957","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/liste/teslim-edilen",
"65","muhasebe","admin/muhasebe/tanimlar/tasarimlar","filament.admin.muhasebe.resources.tanimlar.tasarimlar.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeTasarimTanimKaynagi\Pages\ListMuhasebeTasarimlari","200","1821,71","1703,53","2022,48","1739,11|2022,48|1703,53","160756","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/tasarimlar",
"66","profil","admin/profil","filament.admin.auth.profile","App\Filament\Pages\Auth\ProfilDuzenle","200","1820,83","1749,76","1960,42","1960,42|1749,76|1752,32","232126","http://localhost/yalova-kamera/admin/profil",
"67","muhasebe","admin/muhasebe/finans/kasa-hesaplari","filament.admin.muhasebe.resources.finans.kasa-hesaplari.index","App\Filament\Clusters\Muhasebe\Resources\KasaHesabiKaynagi\Pages\ListKasaHesaplari","200","1820,82","1777,62","1859,94","1859,94|1824,9|1777,62","267968","http://localhost/yalova-kamera/admin/muhasebe/finans/kasa-hesaplari",
"68","web","admin/web/bloglar/blog-kategori","filament.admin.web.pages.bloglar.blog-kategori","App\Filament\Clusters\Web\Pages\BlogKategori","200","1820,13","1809,93","1839,12","1811,34|1839,12|1809,93","291754","http://localhost/yalova-kamera/admin/web/bloglar/blog-kategori",
"69","muhasebe","admin/muhasebe/fatura-kaynagis","filament.admin.muhasebe.resources.fatura-kaynagis.index","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\ListFaturalar","200","1815,11","1692,93","1990,19","1762,22|1990,19|1692,93","159656","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis",
"70","personel-takip","admin/personel-takip/tanimlar/vardiya-sablonlari","filament.admin.personel-takip.resources.tanimlar.vardiya-sablonlari.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelVardiyaSablonuKaynagi\Pages\ListPersonelVardiyaSablonlari","200","1814,86","1745,42","1947,21","1947,21|1751,96|1745,42","203671","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/vardiya-sablonlari",
"71","muhasebe","admin/muhasebe/satis/barkodlu-satis-muhasebe-mutabakat","filament.admin.muhasebe.pages.satis.barkodlu-satis-muhasebe-mutabakat","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisMuhasebeMutabakatSayfasi","200","1814,05","1670,48","2082,72","2082,72|1688,96|1670,48","157266","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-muhasebe-mutabakat",
"72","muhasebe","admin/muhasebe/tanimlar/logo-turleri","filament.admin.muhasebe.resources.tanimlar.logo-turleri.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeLogoTuruTanimKaynagi\Pages\ListMuhasebeLogoTurleri","200","1812,79","1670,12","1999,33","1768,92|1999,33|1670,12","160788","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/logo-turleri",
"73","web","admin/web/sayfalar/bilgi-sayfalari","filament.admin.web.pages.sayfalar.bilgi-sayfalari","App\Filament\Clusters\Web\Pages\BilgiSayfalari","200","1811,39","1800,29","1833,45","1833,45|1800,29|1800,44","294392","http://localhost/yalova-kamera/admin/web/sayfalar/bilgi-sayfalari",
"74","web","admin/web/urunler/urun-kategorileri","filament.admin.web.resources.urunler.urun-kategorileri.index","App\Filament\Clusters\Web\Resources\UrunKategoriKaynagi\Pages\ListUrunKategorileri","200","1811,09","1695,8","2021,28","1716,19|2021,28|1695,8","165229","http://localhost/yalova-kamera/admin/web/urunler/urun-kategorileri",
"75","muhasebe","admin/muhasebe/satis/barkodlu-satis-iade-gecmisi","filament.admin.muhasebe.pages.satis.barkodlu-satis-iade-gecmisi","App\Filament\Clusters\Muhasebe\Pages\BarkodluSatisIadeGecmisiSayfasi","200","1810,56","1699,89","2026,77","2026,77|1705,01|1699,89","174907","http://localhost/yalova-kamera/admin/muhasebe/satis/barkodlu-satis-iade-gecmisi",
"76","web","admin/web/web-ayarlar/aboneler","filament.admin.web.pages.web-ayarlar.aboneler","App\Filament\Clusters\Web\Pages\WebAboneler","200","1809,82","1801,44","1823,37","1804,64|1801,44|1823,37","245783","http://localhost/yalova-kamera/admin/web/web-ayarlar/aboneler",
"77","muhasebe","admin/muhasebe/tanimlar/stok-modelleri","filament.admin.muhasebe.resources.tanimlar.stok-modelleri.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeStokModeliTanimKaynagi\Pages\ListMuhasebeStokModelleri","200","1809,29","1711,44","1910,3","1711,44|1910,3|1806,13","160803","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/stok-modelleri",
"78","muhasebe","admin/muhasebe/fatura-kaynagis/create/iptal-fatura","filament.admin.muhasebe.resources.fatura-kaynagis.createIptal","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateIptalFatura","200","1801,69","1755,99","1858,37","1755,99|1858,37|1790,71","192815","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create/iptal-fatura",
