"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"136","restoran","admin/restoran/qr-menu/urunler/create","filament.admin.restoran.resources.qr-menu.urunler.create","App\Filament\Clusters\Restoran\Resources\RestoranMenuUrunKaynagi\Pages\CreateRestoranMenuUrun","200","1743,61","1743,61","1743,61","1743.61","166472","http://localhost/yalova-kamera/admin/restoran/qr-menu/urunler/create",
"137","muhasebe","admin/muhasebe/finans/poslar","filament.admin.muhasebe.resources.finans.poslar.index","App\Filament\Clusters\Muhasebe\Resources\PosHesabiKaynagi\Pages\ListPosHesaplari","200","1743,59","1743,59","1743,59","1743.59","174649","http://localhost/yalova-kamera/admin/muhasebe/finans/poslar",
"138","e-ticaret","admin/e-ticaret/kampanya-yonetimi","filament.admin.e-ticaret.pages.kampanya-yonetimi","App\Filament\Clusters\ETicaret\Pages\KampanyaYonetimiSayfasi","200","1743,27","1743,27","1743,27","1743.27","137942","http://localhost/yalova-kamera/admin/e-ticaret/kampanya-yonetimi",
"139","muhasebe","admin/muhasebe/tanimlar/doviz-kurlari","filament.admin.muhasebe.resources.tanimlar.doviz-kurlari.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\DovizKuruTanimKaynagi\Pages\ListDovizKurlari","200","1742,32","1742,32","1742,32","1742.32","163464","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/doviz-kurlari",
"140","muhasebe","admin/muhasebe/finans/kasa-hesaplari/create","filament.admin.muhasebe.resources.finans.kasa-hesaplari.create","App\Filament\Clusters\Muhasebe\Resources\KasaHesabiKaynagi\Pages\CreateKasaHesabi","200","1742,02","1742,02","1742,02","1742.02","154216","http://localhost/yalova-kamera/admin/muhasebe/finans/kasa-hesaplari/create",
"141","muhasebe","admin/muhasebe/cari-yonetimi/cariler/create","filament.admin.muhasebe.resources.cari-yonetimi.cariler.create","App\Filament\Clusters\Muhasebe\Resources\CariKartiKaynagi\Pages\CreateCari","200","1741,26","1741,26","1741,26","1741.26","211193","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cariler/create",
"142","muhasebe","admin/muhasebe/tanimlar/varyantlar","filament.admin.muhasebe.resources.tanimlar.varyantlar.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\MuhasebeVaryantTanimKaynagi\Pages\ListMuhasebeVaryantlari","200","1739,88","1739,88","1739,88","1739.88","160766","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/varyantlar",
"143","muhasebe","admin/muhasebe/faturalar/bekleyen-faturalar","filament.admin.muhasebe.pages.faturalar.bekleyen-faturalar","App\Filament\Clusters\Muhasebe\Pages\BekleyenFatura","200","1739,38","1739,38","1739,38","1739.38","145721","http://localhost/yalova-kamera/admin/muhasebe/faturalar/bekleyen-faturalar",
"144","muhasebe","admin/muhasebe/faturalar/iptal-faturalar","filament.admin.muhasebe.pages.faturalar.iptal-faturalar","App\Filament\Clusters\Muhasebe\Pages\IptalFatura","200","1738,89","1738,89","1738,89","1738.89","158808","http://localhost/yalova-kamera/admin/muhasebe/faturalar/iptal-faturalar",
"145","teknik-servis","admin/teknik-servis/tanimlar/servis-durumlari","filament.admin.teknik-servis.resources.tanimlar.servis-durumlari.index","App\Filament\Clusters\TeknikServis\Resources\TeknikServisDurumuTanimKaynagi\Pages\ListTeknikServisDurumlari","200","1738,36","1738,36","1738,36","1738.36","142022","http://localhost/yalova-kamera/admin/teknik-servis/tanimlar/servis-durumlari",
